,City,Price range,Average price
0,Ahmedabad,"611 - 1,71,969 / sqft","37,742.18 / sqft"
1,Bangalore,"656 - 1,40,148 / sqft","82,905.38 / sqft"
2,Chennai,"667 - 88,226 / sqft","46,37.19 / sqft"
3,Delhi,"741 - 1,37,631 / sqft","56,927.32 / sqft"
4,Ghaziabad,"634 - 83,397 / sqft","26,73.3 / sqft"
5,Gurgaon,"640 - 94,231 / sqft","42,449.13 / sqft"
6,Hyderabad,"641 - 75,002 / sqft","52,897.72 / sqft"
7,Indore,"619 - 31,699 / sqft","11,513.38 / sqft"
8,Kolkata,"646 - 1,00,034 / sqft","62,48.83 / sqft"
9,Mumbai,"625 - 2,00,000 / sqft","1,55,65.23 / sqft"
10,Noida,"355 - 73,879 / sqft","35,674.06 / sqft"
11,Pune,"706 - 57,478 / sqft","44,711.5 / sqft"
12,Jalandhar,"706 - 6,303 / sqft","4,266.82 / sqft"
13,Lucknow,"999 - 18,511 / sqft","10,196.64 / sqft"
14,Chandigarh,"1,197 - 33,899 / sqft","14,955.05 / sqft"
15,Nagpur,"662 - 24,501 / sqft","19,368.06 / sqft"
16,Coimbatore,"811 - 12,797 / sqft","8,682.13 / sqft"
17,Goa,"2,566 - 20,833 / sqft","15,461.67 / sqft"
18,Jaipur,"667 - 11,111 / sqft","9,584.33 / sqft"
19,Trivandrum,"4,029 - 10,000 / sqft","6,830.47 / sqft"
20,Kochi,"2,703 - 62,500 / sqft","28,560.44 / sqft"
21,Bhubaneswar,"609 - 12,007 / sqft","9,416.23 / sqft"
22,Puri,"2,462 - 5,935 / sqft","5,249.32 / sqft"
23,Bhopal,"1,100 - 11,875 / sqft","9,343.87 / sqft"
24,Nashik,"1,204 - 11,628 / sqft","8,138.08 / sqft"
25,Mysore,"3,721 - 9,201 / sqft","6,569.39 / sqft"
26,Dehradun,"1,115 - 11,538 / sqft","8,346.23 / sqft"
27,Vadodara,"833 - 17,500 / sqft","8,803.34 / sqft"
28,Mangalore,"914 - 10,345 / sqft","7,767.55 / sqft"
29,Surat,"782 - 41,995 / sqft","20,913.5 / sqft"
30,Visakhapatnam,"803 - 58,000 / sqft","25,94.14 / sqft"
